first,second,distance
0,1,288
0,2,36
0,3,6
0,4,352
0,5,420
0,6,359
0,7,502
0,8,373
0,9,102
0,10,359
0,11,141
0,12,220
0,13,651
0,14,1323
0,15,166
0,16,442
0,17,154
0,18,4
0,19,337
0,20,383
0,21,16
0,22,153
0,23,1233
0,24,501
0,25,680
0,26,108
0,27,7
0,28,539
0,29,621
0,30,191
0,31,218
0,32,223
0,33,958
0,34,1283
0,35,248
0,36,393
0,37,173
0,38,95
0,39,190
0,40,680
0,41,541
0,42,242
0,43,32
0,44,680
0,45,443
0,46,61
0,47,22
0,48,131
0,49,342
1,2,252
1,3,293
1,4,65
1,5,133
1,6,647
1,7,790
1,8,86
1,9,185
1,10,647
1,11,147
1,12,508
1,13,939
1,14,1036
1,15,454
1,16,155
1,17,442
1,18,292
1,19,625
1,20,96
1,21,272
1,22,441
1,23,1521
1,24,789
1,25,968
1,26,180
1,27,294
1,28,827
1,29,909
1,30,479
1,31,506
1,32,511
1,33,1061
1,34,1571
1,35,40
1,36,106
1,37,114
1,38,192
1,39,98
1,40,968
1,41,829
1,42,46
1,43,320
1,44,968
1,45,156
1,46,349
1,47,266
1,48,419
1,49,54
2,3,42
2,4,316
2,5,384
2,6,395
2,7,538
2,8,337
2,9,66
2,10,395
2,11,105
2,12,256
2,13,687
2,14,1287
2,15,202
2,16,406
2,17,190
2,18,40
2,19,373
2,20,347
2,21,20
2,22,189
2,23,1269
2,24,537
2,25,716
2,26,72
2,27,43
2,28,575
2,29,657
2,30,227
2,31,254
2,32,259
2,33,994
2,34,1319
2,35,212
2,36,357
2,37,138
2,38,59
2,39,154
2,40,716
2,41,577
2,42,206
2,43,68
2,44,716
2,45,407
2,46,97
2,47,14
2,48,167
2,49,306
3,4,357
3,5,425
3,6,354
3,7,497
3,8,378
3,9,108
3,10,354
3,11,147
3,12,215
3,13,646
3,14,1328
3,15,161
3,16,447
3,17,149
3,18,2
3,19,332
3,20,388
3,21,21
3,22,148
3,23,1228
3,24,496
3,25,675
3,26,114
3,27,1
3,28,534
3,29,616
3,30,186
3,31,213
3,32,218
3,33,953
3,34,1278
3,35,254
3,36,398
3,37,179
3,38,101
3,39,195
3,40,675
3,41,536
3,42,247
3,43,27
3,44,675
3,45,448
3,46,56
3,47,28
3,48,126
3,49,347
4,5,68
4,6,711
4,7,854
4,8,21
4,9,249
4,10,711
4,11,211
4,12,572
4,13,1003
4,14,971
4,15,518
4,16,90
4,17,506
4,18,356
4,19,689
4,20,31
4,21,336
4,22,505
4,23,1585
4,24,853
4,25,1032
4,26,244
4,27,358
4,28,891
4,29,973
4,30,543
4,31,570
4,32,575
4,33,996
4,34,1635
4,35,104
4,36,41
4,37,178
4,38,256
4,39,162
4,40,1032
4,41,893
4,42,110
4,43,384
4,44,1032
4,45,91
4,46,413
4,47,330
4,48,483
4,49,10
5,6,779
5,7,922
5,8,47
5,9,317
5,10,779
5,11,279
5,12,640
5,13,1071
5,14,903
5,15,586
5,16,22
5,17,574
5,18,424
5,19,757
5,20,37
5,21,404
5,22,573
