first,second,distance
0,1,288.0
0,2,136.0
0,3,127.0
0,4,75.0
0,5,28.0
0,6,11.0
0,7,98.0
0,8,121.0
0,9,160.0
0,10,155.0
0,11,103.0
0,12,129.0
0,13,154.0
0,14,182.0
0,15,206.0
0,16,50.0
0,17,152.0
0,18,119.0
0,19,154.0
0,20,191.0
0,21,201.0
0,22,183.0
0,23,220.0
0,24,41.0
0,25,177.0
0,26,230.0
0,27,266.0
0,28,277.0
0,29,305.0
0,30,208.0
0,31,243.0
0,32,266.0
0,33,333.0
0,34,329.0
0,35,196.0
0,36,220.0
0,37,277.0
0,38,277.0
0,39,208.0
0,40,277.0
0,41,277.0
0,42,359.0
0,43,359.0
0,44,359.0
0,45,359.0
0,46,359.0
0,47,277.0
0,48,359.0
0,49,277.0
1,2,151.0
1,3,160.0
1,4,213.0
1,5,260.0
1,6,299.0
1,7,190.0
1,8,166.0
1,9,127.0
1,10,132.0
1,11,185.0
1,12,159.0
1,13,442.0
1,14,106.0
1,15,82.0
1,16,338.0
1,17,440.0
1,18,407.0
1,19,442.0
1,20,97.0
1,21,86.0
1,22,105.0
1,23,68.0
1,24,329.0
1,25,111.0
1,26,58.0
1,27,22.0
1,28,41.0
1,29,17.0
1,30,79.0
1,31,45.0
1,32,22.0
1,33,45.0
1,34,41.0
1,35,91.0
1,36,67.0
1,37,41.0
1,38,41.0
1,39,80.0
1,40,41.0
1,41,41.0
1,42,647.0
1,43,647.0
1,44,647.0
1,45,647.0
1,46,647.0
1,47,41.0
1,48,647.0
1,49,41.0
2,3,9.0
2,4,62.0
2,5,108.0
2,6,147.0
2,7,38.0
2,8,15.0
2,9,24.0
2,10,19.0
2,11,33.0
2,12,7.0
2,13,291.0
2,14,46.0
2,15,70.0
2,16,187.0
2,17,289.0
2,18,256.0
2,19,291.0
2,20,55.0
2,21,65.0
2,22,47.0
2,23,84.0
2,24,177.0
2,25,40.0
2,26,94.0
2,27,129.0
2,28,140.0
2,29,168.0
2,30,72.0
2,31,107.0
2,32,129.0
2,33,196.0
2,34,192.0
2,35,60.0
2,36,84.0
2,37,140.0
2,38,140.0
2,39,71.0
2,40,140.0
2,41,140.0
2,42,496.0
2,43,496.0
2,44,496.0
2,45,496.0
2,46,496.0
2,47,140.0
2,48,496.0
2,49,140.0
3,4,53.0
3,5,99.0
3,6,138.0
3,7,29.0
3,8,6.0
3,9,33.0
3,10,28.0
3,11,24.0
3,12,2.0
3,13,282.0
3,14,55.0
3,15,79.0
3,16,178.0
3,17,280.0
3,18,247.0
3,19,282.0
3,20,64.0
3,21,74.0
3,22,56.0
3,23,93.0
3,24,168.0
3,25,49.0
3,26,103.0
3,27,138.0
3,28,149.0
3,29,177.0
3,30,81.0
3,31,116.0
3,32,138.0
3,33,205.0
3,34,201.0
3,35,69.0
3,36,93.0
3,37,149.0
3,38,149.0
3,39,80.0
3,40,149.0
3,41,149.0
3,42,487.0
3,43,487.0
3,44,487.0
3,45,487.0
3,46,487.0
3,47,149.0
3,48,487.0
3,49,149.0
4,5,46.0
4,6,85.0
4,7,23.0
4,8,47.0
4,9,86.0
4,10,81.0
4,11,29.0
4,12,55.0
4,13,229.0
4,14,107.0
4,15,131.0
4,16,125.0
4,17,227.0
4,18,194.0
4,19,229.0
4,20,116.0
4,21,127.0
4,22,108.0
4,23,145.0
4,24,116.0
4,25,102.0
4,26,155.0
4,27,191.0
4,28,202.0
4,29,230.0
4,30,134.0
4,31,168.0
4,32,191.0
4,33,258.0
4,34,254.0
4,35,122.0
4,36,146.0
4,37,202.0
4,38,202.0
4,39,133.0
4,40,202.0
4,41,202.0
4,42,434.0
4,43,434.0
4,44,434.0
4,45,434.0
4,46,434.0
4,47,202.0
4,48,434.0
4,49,202.0
5,6,39.0
5,7,70.0
5,8,93.0
5,9,132.0
5,10,127.0
5,11,75.0
5,12,101.0
5,13,182.0
5,14,154.0
5,15,178.0
5,16,78.0
5,17,180.0
5,18,147.0
5,19,182.0
5,20,163.0
5,21,173.0
5,22,155.0
5,23,192.0
5,24,69.0
5,25,149.0
5,26,202.0
5,27,238.0
5,28,249.0
5,29,277.0
5,30,180.0
5,31,215.0
5,32,238.0
5,33,305.0
5,34,301.0
5,35,168.0
5,36,192.0
5,37,249.0
5,38,249.0
5,39,179.0
5,40,249.0
5,41,249.0
5,42,387.0
5,43,387.0
5,44,387.0
5,45,387.0
5,46,387.0
5,47,249.0
5,48,387.0
5,49,249.0
6,7,109.0
6,8,132.0
6,9,171.0
6,10,166.0
6,11,114.0
6,12,140.0
6,13,143.0
6,14,193.0
6,15,217.0
6,16,39.0
6,17,141.0
6,18,108.0
6,19,143.0
6,20,202.0
6,21,212.0
6,22,194.0
6,23,231.0
6,24,30.0
6,25,188.0
6,26,241.0
6,27,277.0
6,28,288.0
6,29,316.0
6,30,219.0
6,31,254.0
6,32,277.0
6,33,344.0
6,34,340.0
6,35,207.0
6,36,231.0
6,37,288.0
6,38,288.0
6,39,218.0
6,40,288.0
6,41,288.0
6,42,348.0
6,43,348.0
6,44,348.0
6,45,348.0
6,46,348.0
6,47,288.0
6,48,348.0
6,49,288.0
7,8,24.0
7,9,63.0
7,10,58.0
7,11,5.0
7,12,31.0
7,13,252.0
7,14,84.0
7,15,108.0
7,16,148.0
7,17,250.0
7,18,217.0
7,19,252.0
7,20,93.0
7,21,104.0
7,22,85.0
7,23,122.0
7,24,139.0
7,25,79.0
7,26,132.0
7,27,168.0
7,28,179.0
7,29,207.0
7,30,111.0
7,31,145.0
7,32,168.0
7,33,235.0
7,34,231.0
7,35,99.0
7,36,123.0
7,37,179.0
7,38,179.0
7,39,110.0
7,40,179.0
7,41,179.0
7,42,457.0
7,43,457.0
7,44,457.0
7,45,457.0
7,46,457.0
7,47,179.0
7,48,457.0
7,49,179.0
8,9,39.0
8,10,34.0
8,11,18.0
8,12,8.0
8,13,276.0
8,14,60.0
8,15,85.0
8,16,172.0
8,17,274.0
8,18,241.0
8,19,276.0
8,20,69.0
8,21,80.0
8,22,61.0
8,23,98.0
8,24,162.0
8,25,55.0
8,26,108.0
8,27,144.0
8,28,155.0
8,29,183.0
8,30,87.0
8,31,121.0
8,32,144.0
8,33,211.0
8,34,207.0
8,35,75.0
8,36,99.0
8,37,155.0
8,38,155.0
8,39,86.0
8,40,155.0
8,41,155.0
8,42,481.0
8,43,481.0
8,44,481.0
8,45,481.0
8,46,481.0
8,47,155.0
8,48,481.0
8,49,155.0
9,10,5.0
9,11,57.0
9,12,31.0
9,13,315.0
9,14,21.0
