id,center,x,y
0,0,-97.964343,30.384303
1,0,-97.987454,30.361568
2,0,-97.974549,30.380235
3,0,-97.987584,30.350239
4,0,-97.983692,30.36095
5,0,-97.970715,30.380215
6,0,-97.981768,30.363509
7,0,-97.991714,30.362289
8,0,-97.985582,30.356029
9,0,-97.988726,30.357624
10,0,-97.977936,30.34932
11,0,-97.978562,30.368681
12,0,-97.984974,30.35512
13,0,-97.972677,30.371392
14,0,-97.974259,30.37759
15,0,-97.971429,30.377727
16,0,-97.979891,30.379082
17,0,-97.974799,30.381046
18,0,-97.974396,30.371246
19,0,-97.977732,30.378897
20,0,-97.966561,30.39008
21,0,-97.978646,30.366129
22,0,-97.977414,30.374884
23,0,-97.979758,30.36392
24,0,-97.97127,30.373239
25,0,-97.98272,30.362988
26,0,-97.96759,30.374168
27,0,-97.987816,30.355949
28,0,-97.966849,30.37173
29,0,-97.975182,30.375373
30,0,-97.975608,30.370599
31,0,-97.991026,30.356489
32,0,-97.990667,30.354378
33,0,-97.972956,30.376466
34,0,-97.968866,30.383382
35,0,-97.983595,30.356658
36,0,-97.980431,30.353116
37,0,-97.992338,30.359338
38,0,-97.973823,30.379769
39,0,-97.991877,30.360841
40,0,-97.99225,30.35573
41,0,-97.971908,30.376603
42,0,-97.968707,30.382203
43,0,-97.971163,30.370672
44,0,-97.987982,30.352705
45,0,-97.978937,30.366662
46,0,-97.992099,30.354698
47,0,-97.970423,30.370975
48,0,-97.971963,30.379038
49,0,-97.96127,30.390112
50,0,-97.984245,30.367328
51,0,-97.978512,30.35039
52,0,-97.978755,30.374418
53,0,-97.982836,30.362878
54,0,-97.97408,30.376404
55,0,-97.982257,30.348064
56,0,-97.981709,30.351426
57,0,-97.989822,30.358239
58,0,-97.985443,30.351939
59,0,-97.989544,30.354915
60,0,-97.983281,30.360675
61,0,-97.986224,30.360121
62,0,-97.974223,30.367257
63,0,-97.963327,30.389707
64,0,-97.982104,30.350045
65,0,-97.983292,30.364606
66,0,-97.988456,30.355159
67,0,-97.972892,30.38014
68,0,-97.975577,30.377199
69,0,-97.985553,30.363837
70,0,-97.975544,30.383378
71,0,-97.975989,30.374645
72,0,-97.990301,30.353418
73,0,-97.971298,30.368391
74,0,-97.984452,30.361226
75,0,-97.965151,30.388249
76,0,-97.976601,30.377379
77,0,-97.977735,30.369572
78,0,-97.96885,30.373359
79,0,-97.975579,30.376489
80,0,-97.984522,30.364312
81,0,-97.983454,30.352989
82,0,-97.971099,30.379677
83,0,-97.972641,30.3786
84,0,-97.993446,30.360381
85,0,-97.983314,30.363141
86,0,-97.979669,30.368266
87,0,-97.973574,30.380276
88,0,-97.974884,30.372084
89,0,-97.969262,30.371459
90,0,-97.980406,30.352578
91,0,-97.981292,30.358672
92,0,-97.969737,30.371258
93,0,-97.981047,30.365286
94,0,-97.986696,30.359623
95,0,-97.97397,30.374851
96,0,-97.97554,30.371582
97,0,-97.972405,30.372015
98,0,-97.9654,30.385351
99,0,-97.96878,30.379338
100,0,-97.967729,30.373438
101,0,-97.972515,30.378976
102,0,-97.973852,30.372731
103,0,-97.993452,30.361202
104,0,-97.972346,30.373428
105,0,-97.968802,30.372952
106,0,-97.98215,30.364961
107,0,-97.983343,30.350522
108,0,-97.977746,30.367889
109,0,-97.980264,30.357391
110,0,-97.976899,30.368236
111,0,-97.988004,30.358586
112,0,-97.980534,30.35188
113,0,-97.97316,30.372853
114,0,-97.991378,30.35695
115,0,-97.973049,30.375498
116,0,-97.977123,30.38193
117,0,-97.976926,30.372446
118,0,-97.974615,30.382893
119,0,-97.970332,30.378335
120,0,-97.97306,30.375806
121,0,-97.981826,30.361685
122,0,-97.975212,30.380707
123,0,-97.985831,30.354612
124,0,-97.982133,30.368921
125,0,-97.972084,30.379594
126,0,-97.962433,30.389484
127,0,-97.975565,30.366837
128,0,-97.976032,30.374233
129,0,-97.9778,30.366778
130,0,-97.978088,30.374688
131,0,-97.979919,30.351433
132,0,-97.987349,30.354041
133,0,-97.981851,30.367471
134,0,-97.985275,30.363496
135,0,-97.968679,30.381758
136,0,-97.985039,30.360145
137,0,-97.980811,30.35989
138,0,-97.987046,30.36289
139,0,-97.976185,30.378063
140,0,-97.972938,30.381533
141,0,-97.983762,30.352761
142,0,-97.968016,30.384681
143,0,-97.985527,30.36089
144,0,-97.96988,30.372239
145,0,-97.98456,30.359377
146,0,-97.969675,30.379758
147,0,-97.980647,30.349623
148,0,-97.990848,30.356773
149,0,-97.967465,30.369143
150,0,-97.98887,30.354491
151,0,-97.971799,30.374287
152,0,-97.827303,30.480428
153,0,-97.82303,30.479218
154,0,-97.824126,30.472688
155,0,-97.82334,30.46906
156,0,-97.822436,30.471946
157,0,-97.822386,30.479938
158,0,-97.822108,30.475001
159,0,-97.884153,30.235321
160,0,-97.894848,30.236693
161,0,-97.88342,30.248803
162,0,-97.90402,30.231579
163,0,-97.893567,30.237472
164,0,-97.8982,30.240843
165,0,-97.895234,30.227949
166,0,-97.909206,30.233157
167,0,-97.912693,30.245777
168,0,-97.932431,30.243257
169,0,-97.879823,30.239271
170,0,-97.895646,30.2396
171,0,-97.896113,30.22572
172,0,-97.899748,30.220816
173,0,-97.883264,30.235101
174,0,-97.902932,30.218147
175,0,-97.896006,30.236966
176,0,-97.87407,30.243472
177,0,-97.884695,30.235453
178,0,-97.91574,30.227024
179,0,-97.894933,30.238516
180,0,-97.897596,30.240348
181,0,-97.893808,30.245186
182,0,-97.907445,30.226099
183,0,-97.904789,30.237453
184,0,-97.887175,30.24401
185,0,-97.911242,30.242323
186,0,-97.888549,30.242879
187,0,-97.886616,30.244107
188,0,-97.89137,30.239307
189,0,-97.896857,30.236986
190,0,-97.894583,30.233675
191,0,-97.91588,30.222323
192,0,-97.91078,30.222374
193,0,-97.894617,30.228331
194,0,-97.896872,30.238568
195,0,-97.888985,30.239103
196,0,-97.911091,30.219302
197,0,-97.912715,30.230228
198,0,-97.892131,30.240647
199,0,-97.904652,30.236972
200,0,-97.909763,30.227273
201,0,-97.874932,30.244242
202,0,-97.882371,30.238726
203,0,-97.896026,30.234736
204,0,-97.912342,30.221315
205,0,-97.882186,30.249387
206,0,-97.904726,30.231785
207,0,-97.90638,30.221629
208,0,-97.902341,30.236051
209,0,-97.913417,30.220123
210,0,-97.935555,30.241715
211,0,-97.916449,30.225977
212,0,-97.913414,30.223793
213,0,-97.91591,30.22153
214,0,-97.898728,30.239692
215,0,-97.905342,30.225324
216,0,-97.884788,30.248047
217,0,-97.915352,30.221225
218,0,-97.887627,30.251129
219,0,-97.906129,30.243115
220,0,-97.875226,30.245724
221,0,-97.910512,30.24646
222,0,-97.885431,30.236629
223,0,-97.87585,30.242438
224,0,-97.87548,30.241903
225,0,-97.910949,30.216435
226,0,-97.895713,30.226967
227,0,-97.89864,30.228967
228,0,-97.898736,30.237031
229,0,-97.909422,30.221715
230,0,-97.914628,30.222487
231,0,-97.904565,30.22624
232,0,-97.887558,30.240925
233,0,-97.898615,30.221985
234,0,-97.909772,30.242073
235,0,-97.905694,30.243816
236,0,-97.888445,30.24458
237,0,-97.889452,30.243998
238,0,-97.88751,30.242866
239,0,-97.88577,30.243821
240,0,-97.933459,30.244359
241,0,-97.880501,30.243804
242,0,-97.891125,30.244464
243,0,-97.914056,30.24147
244,0,-97.885095,30.249142
245,0,-97.900678,30.225781
246,0,-97.88128,30.238132
247,0,-97.9044,30.216649
248,0,-97.905048,30.229806
249,0,-97.898006,30.237821
250,0,-97.903199,30.231612
251,0,-97.908829,30.229891
252,0,-97.877838,30.240332
253,0,-97.903395,30.230593
254,0,-97.894586,30.240034
255,0,-97.896328,30.236122
256,0,-97.894319,30.239592
257,0,-97.91112,30.246757
258,0,-97.88903,30.244681
259,0,-97.881113,30.235187
260,0,-97.908686,30.221356
261,0,-97.877419,30.233446
262,0,-97.895864,30.242398
263,0,-97.890281,30.246004
264,0,-97.906686,30.219538
265,0,-97.892295,30.23475
266,0,-97.907941,30.229403
267,0,-97.885088,30.250266
268,0,-97.896492,30.234752
269,0,-97.881152,30.237233
270,0,-97.892977,30.240116
271,0,-97.891813,30.234511
272,0,-97.875787,30.243827
273,0,-97.886232,30.237005
274,0,-97.902849,30.224408
275,0,-97.907026,30.226777
276,0,-97.88438,30.238161
277,0,-97.90551,30.230583
278,0,-97.903087,30.224839
279,0,-97.911345,30.217238
280,0,-97.893647,30.239359
281,0,-97.912713,30.225466
282,0,-97.906154,30.243075
283,0,-97.889565,30.243558
284,0,-97.900286,30.235063
285,0,-97.884756,30.244364
286,0,-97.88861,30.237496
287,0,-97.910089,30.226771
288,0,-97.880922,30.241268
289,0,-97.89714,30.242399
290,0,-97.894267,30.244803
291,0,-97.906352,30.232429
292,0,-97.907907,30.232718
293,0,-97.942357,30.241036
294,0,-97.879811,30.238441
295,0,-97.892652,30.243949
296,0,-97.90969,30.241406
297,0,-97.904835,30.216033
298,0,-97.890147,30.238621
299,0,-97.910673,30.232332
300,0,-97.915143,30.223885
301,0,-97.89943,30.234785
302,0,-97.880966,30.245621
303,0,-97.913888,30.219145
304,0,-97.894872,30.234566
305,0,-97.91235,30.230654
306,0,-97.876084,30.244861
307,0,-97.89209,30.234048
308,0,-97.91605,30.222049
309,0,-97.88827,30.239821
310,0,-97.908488,30.233115
311,0,-97.905451,30.214851
312,0,-97.911374,30.239875
313,0,-97.899173,30.221113
314,0,-97.902447,30.223987
315,0,-97.875144,30.243544
316,0,-97.897282,30.234906
317,0,-97.873968,30.238446
318,0,-97.905563,30.241496
319,0,-97.885434,30.251092
320,0,-97.879093,30.243215
321,0,-97.953737,30.291071
322,0,-98.035105,30.290535
323,0,-98.027756,30.282667
324,0,-97.94313,30.28247
325,0,-98.031105,30.289094
326,0,-98.030992,30.285736
327,0,-98.031027,30.289712
328,0,-97.933756,30.293137
