id,center,x,y
0,0,-97.964343,30.384303
1,0,-97.987454,30.361568
2,0,-97.974549,30.380235
3,0,-97.987584,30.350239
4,0,-97.983692,30.36095
5,0,-97.970715,30.380215
6,0,-97.981768,30.363509
7,0,-97.991714,30.362289
8,0,-97.985582,30.356029
9,0,-97.988726,30.357624
10,0,-97.977936,30.34932
11,0,-97.978562,30.368681
12,0,-97.984974,30.35512
13,0,-97.972677,30.371392
14,0,-97.974259,30.37759
15,0,-97.971429,30.377727
16,0,-97.979891,30.379082
17,0,-97.974799,30.381046
18,0,-97.974396,30.371246
19,0,-97.977732,30.378897
20,0,-97.966561,30.39008
21,0,-97.978646,30.366129
22,0,-97.977414,30.374884
23,0,-97.979758,30.36392
24,0,-97.97127,30.373239
25,0,-97.98272,30.362988
26,0,-97.96759,30.374168
27,0,-97.987816,30.355949
28,0,-97.966849,30.37173
29,0,-97.975182,30.375373
30,0,-97.975608,30.370599
31,0,-97.991026,30.356489
32,0,-97.990667,30.354378
33,0,-97.972956,30.376466
34,0,-97.968866,30.383382
35,0,-97.983595,30.356658
36,0,-97.980431,30.353116
37,0,-97.992338,30.359338
38,0,-97.973823,30.379769
39,0,-97.991877,30.360841
40,0,-97.99225,30.35573
41,0,-97.971908,30.376603
42,0,-97.968707,30.382203
43,0,-97.971163,30.370672
44,0,-97.987982,30.352705
45,0,-97.978937,30.366662
46,0,-97.992099,30.354698
47,0,-97.970423,30.370975
48,0,-97.971963,30.379038
49,0,-97.96127,30.390112
50,0,-97.984245,30.367328
51,0,-97.978512,30.35039
52,0,-97.978755,30.374418
53,0,-97.982836,30.362878
54,0,-97.97408,30.376404
55,0,-97.982257,30.348064
56,0,-97.981709,30.351426
57,0,-97.989822,30.358239
58,0,-97.985443,30.351939
59,0,-97.989544,30.354915
60,0,-97.983281,30.360675
61,0,-97.986224,30.360121
62,0,-97.974223,30.367257
63,0,-97.963327,30.389707
64,0,-97.982104,30.350045
65,0,-97.983292,30.364606
66,0,-97.988456,30.355159
67,0,-97.972892,30.38014
68,0,-97.975577,30.377199
69,0,-97.985553,30.363837
70,0,-97.975544,30.383378
71,0,-97.975989,30.374645
72,0,-97.990301,30.353418
73,0,-97.971298,30.368391
74,0,-97.984452,30.361226
75,0,-97.965151,30.388249
76,0,-97.976601,30.377379
77,0,-97.977735,30.369572
78,0,-97.96885,30.373359
79,0,-97.975579,30.376489
80,0,-97.984522,30.364312
81,0,-97.983454,30.352989
82,0,-97.971099,30.379677
83,0,-97.972641,30.3786
84,0,-97.993446,30.360381
85,0,-97.983314,30.363141
86,0,-97.979669,30.368266
87,0,-97.973574,30.380276
88,0,-97.974884,30.372084
89,0,-97.969262,30.371459
90,0,-97.980406,30.352578
91,0,-97.981292,30.358672
92,0,-97.969737,30.371258
93,0,-97.981047,30.365286
94,0,-97.986696,30.359623
95,0,-97.97397,30.374851
96,0,-97.97554,30.371582
97,0,-97.972405,30.372015
98,0,-97.9654,30.385351
99,0,-97.96878,30.379338
100,0,-97.967729,30.373438
101,0,-97.972515,30.378976
102,0,-97.973852,30.372731
103,0,-97.993452,30.361202
104,0,-97.972346,30.373428
105,0,-97.968802,30.372952
106,0,-97.98215,30.364961
107,0,-97.983343,30.350522
108,1,-97.977746,30.367889
109,0,-97.980264,30.357391
110,0,-97.976899,30.368236
111,0,-97.988004,30.358586
112,0,-97.980534,30.35188
113,0,-97.97316,30.372853
114,0,-97.991378,30.35695
115,0,-97.973049,30.375498
116,0,-97.977123,30.38193
117,0,-97.976926,30.372446
118,0,-97.974615,30.382893
119,0,-97.970332,30.378335
120,0,-97.97306,30.375806
121,0,-97.981826,30.361685
122,0,-97.975212,30.380707
123,1,-97.985831,30.354612
124,0,-97.982133,30.368921
125,0,-97.972084,30.379594
126,0,-97.962433,30.389484
127,0,-97.975565,30.366837
128,0,-97.976032,30.374233
129,0,-97.9778,30.366778
130,0,-97.978088,30.374688
131,0,-97.979919,30.351433
132,0,-97.987349,30.354041
133,0,-97.981851,30.367471
134,0,-97.985275,30.363496
135,0,-97.968679,30.381758
136,0,-97.985039,30.360145
137,0,-97.980811,30.35989
138,0,-97.987046,30.36289
139,0,-97.976185,30.378063
140,0,-97.972938,30.381533
141,0,-97.983762,30.352761
142,0,-97.968016,30.384681
143,0,-97.985527,30.36089
144,0,-97.96988,30.372239
145,0,-97.98456,30.359377
146,0,-97.969675,30.379758
147,0,-97.980647,30.349623
148,0,-97.990848,30.356773
149,0,-97.967465,30.369143
150,0,-97.98887,30.354491
151,0,-97.971799,30.374287
152,0,-97.909206,30.233157
153,0,-97.912693,30.245777
154,0,-97.932431,30.243257
155,0,-97.91574,30.227024
156,0,-97.907445,30.226099
157,0,-97.911242,30.242323
158,0,-97.91588,30.222323
159,0,-97.91078,30.222374
160,0,-97.911091,30.219302
161,0,-97.912715,30.230228
162,0,-97.909763,30.227273
163,0,-97.912342,30.221315
164,0,-97.90638,30.221629
165,0,-97.913417,30.220123
166,0,-97.935555,30.241715
167,0,-97.916449,30.225977
168,0,-97.913414,30.223793
169,0,-97.91591,30.22153
170,0,-97.915352,30.221225
171,0,-97.906129,30.243115
172,0,-97.910512,30.24646
173,0,-97.910949,30.216435
174,0,-97.909422,30.221715
175,0,-97.914628,30.222487
176,0,-97.909772,30.242073
177,0,-97.905694,30.243816
178,0,-97.933459,30.244359
179,0,-97.914056,30.24147
180,0,-97.908829,30.229891
181,0,-97.91112,30.246757
182,0,-97.908686,30.221356
183,0,-97.906686,30.219538
184,0,-97.907941,30.229403
185,0,-97.907026,30.226777
186,0,-97.911345,30.217238
187,0,-97.912713,30.225466
188,0,-97.906154,30.243075
189,0,-97.910089,30.226771
190,0,-97.906352,30.232429
191,1,-97.907907,30.232718
192,0,-97.942357,30.241036
193,0,-97.90969,30.241406
194,0,-97.910673,30.232332
195,0,-97.915143,30.223885
196,0,-97.913888,30.219145
197,0,-97.91235,30.230654
198,0,-97.91605,30.222049
199,0,-97.908488,30.233115
200,0,-97.911374,30.239875
201,0,-97.905563,30.241496
202,0,-97.953737,30.291071
203,0,-98.035105,30.290535
204,0,-98.027756,30.282667
205,0,-97.94313,30.28247
206,0,-98.031105,30.289094
207,0,-98.030992,30.285736
208,0,-98.031027,30.289712
209,0,-97.933756,30.293137
210,0,-98.046797,30.295974
211,0,-98.027743,30.286029
212,0,-97.929815,30.288117
213,0,-97.939711,30.28812
214,0,-97.930254,30.290502
215,0,-98.011277,30.299242
216,0,-97.92274,30.29521
217,0,-97.984293,30.314632
218,0,-98.031662,30.286879
219,0,-97.963889,30.301669
220,0,-97.999597,30.306391
221,0,-98.044149,30.295805
222,0,-98.031316,30.285102
223,0,-97.944909,30.2921
224,0,-97.920245,30.293497
225,0,-97.960495,30.314224
226,0,-98.030758,30.289583
227,0,-98.036515,30.289017
228,0,-97.958,30.292165
229,0,-98.02908,30.28314
230,0,-97.985729,30.307419
231,0,-97.962113,30.294629
232,0,-97.956524,30.295385
233,0,-97.918559,30.295802
234,0,-97.926242,30.305227
235,0,-98.039474,30.305627
236,0,-98.035235,30.288195
237,0,-97.960811,30.300005
238,0,-98.040538,30.307334
239,0,-97.95315,30.29935
240,0,-97.921531,30.294219
241,0,-98.016008,30.309787
242,0,-97.951487,30.301671
243,0,-97.948874,30.294839
244,0,-98.028416,30.281876
245,0,-97.944171,30.291322
246,0,-97.952162,30.298771
247,0,-98.045447,30.303443
248,0,-98.045253,30.29422
249,0,-98.02727,30.28789
250,0,-97.967223,30.290668
251,0,-98.03022,30.282458
252,0,-97.92173,30.305434
253,0,-98.00479,30.30098
254,0,-97.945242,30.283712
255,0,-97.93003,30.28927
256,0,-97.92949,30.29596
257,0,-97.921793,30.306572
258,0,-97.928583,30.291524
259,0,-98.047477,30.298267
260,0,-98.012993,30.304222
261,0,-97.943864,30.28775
262,0,-97.938628,30.289541
263,0,-97.964369,30.29493
264,1,-98.038548,30.297986
265,0,-97.920481,30.29604
266,0,-98.00594,30.299237
267,0,-98.041958,30.298851
268,0,-98.040793,30.29678
269,0,-98.029328,30.287767
270,0,-97.924643,30.304854
271,0,-98.004996,30.300658
272,0,-98.035695,30.28937
273,0,-97.98145,30.30556
274,0,-98.026401,30.286409
275,0,-98.036435,30.290755
276,0,-98.026279,30.285513
277,0,-97.923561,30.304424
278,0,-97.958697,30.3138
279,0,-98.026598,30.287502
280,0,-98.029929,30.287389
281,0,-97.932301,30.293629
282,0,-97.929581,30.290019
283,0,-97.928084,30.302805
284,0,-97.928839,30.294509
285,0,-97.920294,30.284227
286,0,-97.92485,30.306519
287,0,-98.029069,30.280758
288,0,-97.943705,30.291962
289,0,-97.94078,30.288018
290,0,-98.044659,30.298699
291,0,-98.038707,30.296895
292,0,-97.965448,30.291837
293,0,-98.030271,30.288194
294,0,-97.955431,30.294935
295,0,-97.96585,30.293952
296,0,-98.04424,30.292787
297,0,-97.959657,30.314199
298,0,-97.944211,30.2899
299,0,-98.057293,30.295585
300,0,-97.936467,30.289741
301,0,-98.029256,30.282537
302,0,-98.051866,30.294776
303,0,-98.034687,30.288956
304,0,-97.927378,30.290539
305,0,-97.950554,30.300677
306,0,-98.028863,30.284575
307,0,-97.920359,30.306759
308,0,-97.949096,30.293804
309,0,-98.04222,30.305391
310,0,-98.02778,30.286984
311,0,-97.929296,30.29461
312,0,-97.984092,30.313807
313,0,-98.038607,30.299285
314,0,-97.94984,30.2974
315,0,-98.027011,30.286095
316,0,-98.029871,30.280638
317,0,-98.042579,30.30287
318,0,-97.962859,30.313966
319,0,-97.932764,30.289287
320,0,-97.933661,30.294386
321,0,-98.030771,30.286166
322,0,-97.956097,30.297748
323,0,-97.957509,30.297862
324,0,-98.015382,30.303487
325,0,-98.027768,30.284618
326,0,-97.95238,30.301419
327,0,-98.050049,30.294963
328,0,-97.980725,30.309193
