id,center,x,y
0,1,22.232899,113.50643
1,0,22.233133,113.504229
2,0,22.232389,113.504534
3,0,22.231904,113.503977
4,0,22.231736,113.505226
5,0,22.232138,113.505657
6,0,22.231176,113.505002
7,0,22.232339,113.506448
8,0,22.233777,113.506439
9,0,22.233526,113.505289
10,0,22.233535,113.507634
11,0,22.234246,113.506385
12,0,22.231552,113.504148
13,0,22.232004,113.504786
14,0,22.232196,113.506268
15,0,22.23351,113.506124
16,0,22.232815,113.5051
17,0,22.234271,113.506367
18,0,22.232698,113.504328
19,0,22.23228,113.506133
20,0,22.232623,113.505523
21,0,22.231285,113.505415
22,1,22.234869,113.508231
23,0,22.235103,113.508914
24,0,22.235412,113.509399
25,0,22.234877,113.509695
26,0,22.234559,113.509641
27,0,22.234066,113.509264
28,0,22.234333,113.50983
29,0,22.234208,113.510459
30,0,22.234509,113.51124
31,0,22.235011,113.510962
32,0,22.235379,113.510162
33,0,22.236106,113.509974
34,0,22.234534,113.510809
35,0,22.234626,113.509228
36,0,22.236525,113.510863
37,0,22.235847,113.511249
38,0,22.235295,113.511609
39,0,22.23466,113.507261
40,0,22.234241,113.507449
41,0,22.234476,113.506803
42,0,22.233898,113.508087
43,0,22.235429,113.508509
