first,second,distance
0,1,218
0,2,1309
0,3,1409
0,4,316
0,5,285
0,6,1233
0,7,295
0,8,97
0,9,186
0,10,22
0,11,175
0,12,1479
0,13,1327
0,14,303
0,15,1
0,16,194
0,17,175
0,18,1254
0,19,223
0,20,223
0,21,369
0,22,214
0,23,281
0,24,358
0,25,290
0,26,247
0,27,220
0,28,247
0,29,360
0,30,1046
0,31,410
0,32,398
0,33,435
0,34,364
0,35,220
0,36,594
0,37,521
0,38,461
0,39,218
0,40,86
0,41,225
0,42,130
0,43,286
1,2,10
1,3,840
1,4,181
1,5,227
1,6,230
1,7,237
1,8,261
1,9,116
1,10,290
1,11,253
1,12,882
1,13,136
1,14,245
1,15,219
1,16,129
1,17,253
1,18,33
1,19,165
1,20,165
1,21,235
1,22,455
1,23,529
1,24,598
1,25,583
1,26,540
1,27,513
1,28,540
1,29,653
1,30,988
1,31,691
1,32,679
1,33,669
1,34,657
1,35,513
1,36,828
1,37,802
1,38,742
1,39,355
1,40,379
1,41,303
1,42,423
1,43,519
2,3,930
2,4,95
2,5,1090
2,6,143
2,7,1053
2,8,1322
2,9,1286
2,10,1288
2,11,1288
2,12,972
2,13,49
2,14,1061
2,15,1377
2,16,1181
2,17,1289
2,18,40
2,19,1061
2,20,1145
2,21,149
2,22,1192
2,23,1266
2,24,1328
2,25,1339
2,26,1278
2,27,1245
2,28,1278
2,29,1428
2,30,1607
2,31,1430
2,32,1418
2,33,1396
2,34,1388
2,35,1245
2,36,1483
2,37,1541
2,38,1523
2,39,1187
2,40,1215
2,41,1238
2,42,1335
2,43,1254
3,4,1024
3,5,1236
3,6,1067
3,7,1238
3,8,1422
3,9,1427
3,10,1388
3,11,1388
3,12,43
3,13,979
3,14,1218
3,15,1523
3,16,1316
3,17,1389
3,18,875
3,19,1232
3,20,1291
3,21,1065
3,22,1292
3,23,1366
3,24,1428
3,25,1439
3,26,1378
3,27,1345
3,28,1378
3,29,1484
3,30,1792
3,31,1530
3,32,1518
3,33,1496
3,34,1488
3,35,1345
3,36,1583
3,37,1641
3,38,1623
3,39,1287
3,40,1315
3,41,1338
3,42,1435
3,43,1354
4,5,189
4,6,48
4,7,191
4,8,359
4,9,227
4,10,388
4,11,364
4,12,1073
4,13,45
4,14,171
4,15,317
4,16,116
4,17,364
4,18,135
4,19,185
4,20,244
4,21,54
4,22,554
4,23,628
4,24,697
4,25,681
4,26,640
4,27,607
4,28,640
4,29,566
4,30,745
4,31,790
4,32,778
4,33,780
4,34,651
4,35,607
4,36,939
4,37,901
4,38,841
4,39,466
4,40,468
4,41,414
4,42,521
4,43,630
5,6,947
5,7,9
5,8,328
5,9,195
5,10,357
5,11,332
5,12,1193
5,13,1041
5,14,17
5,15,286
5,16,90
5,17,332
5,18,1130
5,19,3
5,20,55
5,21,113
5,22,523
5,23,597
5,24,666
5,25,650
5,26,607
5,27,580
5,28,607
5,29,581
5,30,760
5,31,759
5,32,747
5,33,748
5,34,666
5,35,580
5,36,907
5,37,870
5,38,810
5,39,434
5,40,446
5,41,382
5,42,490
5,43,598
6,7,910
6,8,1276
6,9,1143
6,10,1305
6,11,1280
6,12,1024
6,13,94
6,14,918
6,15,1234
6,16,1038
6,17,1280
6,18,184
6,19,918
6,20,1002
6,21,5
6,22,1335
6,23,1409
6,24,1471
6,25,1482
6,26,1421
6,27,1388
6,28,1421
6,29,1285
6,30,1464
6,31,1573
6,32,1561
6,33,1539
6,34,1370
6,35,1388
6,36,1626
6,37,1684
6,38,1666
6,39,1330
6,40,1358
6,41,1381
6,42,1438
6,43,1397
7,8,338
7,9,205
7,10,367
7,11,342
7,12,1195
7,13,1004
7,14,24
7,15,296
7,16,100
7,17,342
7,18,1093
7,19,10
7,20,65
7,21,115
7,22,533
7,23,607
7,24,676
7,25,660
7,26,617
7,27,590
7,28,617
7,29,369
7,30,548
7,31,769
7,32,757
7,33,758
7,34,454
7,35,590
7,36,917
7,37,880
7,38,820
7,39,444
7,40,456
7,41,392
7,42,500
7,43,608
8,9,229
8,10,17
8,11,171
8,12,1464
8,13,1370
8,14,346
8,15,43
8,16,237
8,17,171
8,18,1267
8,19,266
8,20,266
8,21,412
8,22,227
8,23,301
8,24,376
8,25,308
8,26,265
8,27,238
8,28,265
8,29,378
8,30,1089
8,31,428
8,32,416
8,33,448
8,34,382
8,35,238
8,36,607
8,37,539
8,38,479
8,39,231
8,40,104
8,41,221
8,42,148
8,43,299
9,10,182
9,11,136
9,12,1384
9,13,1237
9,14,213
9,15,187
9,16,104
9,17,136
9,18,1370
9,19,133
9,20,133
9,21,280
9,22,340
9,23,414
9,24,483
9,25,487
9,26,426
9,27,393
9,28,426
9,29,544
9,30,956
9,31,576
9,32,564
9,33,552
9,34,544
9,35,393
9,36,711
9,37,687
9,38,627
9,39,238
9,40,254
9,41,186
9,42,314
9,43,402
10,11,192
10,12,1430
10,13,1337
10,14,375
10,15,70
10,16,266
10,17,192
10,18,1233
10,19,295
10,20,295
10,21,441
10,22,196
10,23,215
10,24,287
10,25,219
10,26,176
10,27,154
10,28,176
10,29,289
10,30,1118
10,31,339
10,32,327
10,33,381
10,34,293
10,35,154
10,36,540
10,37,450
10,38,390
10,39,197
10,40,16
10,41,248
10,42,61
10,43,265
11,12,1430
11,13,1337
11,14,350
11,15,229
11,16,241
11,17,1
11,18,1233
11,19,270
11,20,270
11,21,417
11,22,203
11,23,277
11,24,346
11,25,350
11,26,289
11,27,256
11,28,289
11,29,395
11,30,1093
11,31,439
11,32,427
11,33,415
11,34,399
11,35,256
11,36,574
11,37,550
11,38,541
11,39,104
11,40,225
11,41,51
11,42,324
11,43,265
12,13,1021
12,14,1175
12,15,1480
12,16,1273
12,17,1431
12,18,917
12,19,1189
12,20,1248
12,21,1022
12,22,1334
12,23,1408
12,24,1470
12,25,1481
12,26,1420
12,27,1387
12,28,1420
12,29,1570
