first,second,distance
0,1,218.0
0,2,1309.0
0,3,1409.0
0,4,316.0
0,5,285.0
0,6,1233.0
0,7,295.0
0,8,97.0
0,9,186.0
0,10,22.0
0,11,175.0
0,12,1479.0
0,13,1327.0
0,14,303.0
0,15,1.0
0,16,194.0
0,17,175.0
0,18,1254.0
0,19,223.0
0,20,223.0
0,21,369.0
0,22,214.0
0,23,281.0
0,24,358.0
0,25,290.0
0,26,247.0
0,27,220.0
0,28,247.0
0,29,360.0
0,30,1046.0
0,31,410.0
0,32,398.0
0,33,435.0
0,34,364.0
0,35,220.0
0,36,594.0
0,37,521.0
0,38,461.0
0,39,218.0
0,40,86.0
0,41,225.0
0,42,130.0
0,43,286.0
0,44,1012.0
0,45,867.0
0,46,952.0
0,47,930.0
0,48,1107.0
0,49,1109.0
0,50,1048.0
0,51,1055.0
0,52,1086.0
0,53,1145.0
0,54,1440.0
0,55,1137.0
0,56,1158.0
0,57,1179.0
0,58,1306.0
0,59,1382.0
0,60,812.0
0,61,889.0
0,62,913.0
0,63,1198.0
0,64,1319.0
0,65,913.0
0,66,1080.0
0,67,19.0
0,68,596.0
0,69,709.0
0,70,578.0
0,71,543.0
0,72,648.0
0,73,721.0
0,74,694.0
0,75,712.0
0,76,795.0
0,77,815.0
0,78,950.0
0,79,923.0
0,80,986.0
0,81,1017.0
0,82,952.0
0,83,923.0
0,84,1288.0
0,85,1301.0
0,86,1175.0
0,87,655.0
1,2,87.0
1,3,840.0
1,4,181.0
1,5,227.0
1,6,230.0
1,7,237.0
1,8,261.0
1,9,116.0
1,10,290.0
1,11,253.0
1,12,882.0
1,13,136.0
1,14,245.0
1,15,219.0
1,16,129.0
1,17,253.0
1,18,33.0
1,19,165.0
1,20,165.0
1,21,235.0
1,22,455.0
1,23,529.0
1,24,598.0
1,25,583.0
1,26,540.0
1,27,513.0
1,28,540.0
1,29,653.0
1,30,988.0
1,31,691.0
1,32,679.0
1,33,669.0
1,34,657.0
1,35,513.0
1,36,828.0
1,37,802.0
1,38,742.0
1,39,355.0
1,40,379.0
1,41,303.0
1,42,423.0
1,43,519.0
1,44,954.0
1,45,809.0
1,46,894.0
1,47,872.0
1,48,1049.0
1,49,1051.0
1,50,990.0
1,51,997.0
1,52,1028.0
1,53,1087.0
1,54,1382.0
1,55,1079.0
1,56,1100.0
1,57,1121.0
1,58,1248.0
1,59,1324.0
1,60,754.0
1,61,831.0
1,62,855.0
1,63,1140.0
1,64,1261.0
1,65,855.0
1,66,1022.0
1,67,312.0
1,68,538.0
1,69,651.0
1,70,520.0
1,71,485.0
1,72,590.0
1,73,663.0
1,74,636.0
1,75,654.0
1,76,737.0
1,77,757.0
1,78,892.0
1,79,865.0
1,80,928.0
1,81,959.0
1,82,894.0
1,83,865.0
1,84,1230.0
1,85,1243.0
1,86,1117.0
1,87,597.0
2,3,930.0
2,4,95.0
2,5,1090.0
2,6,143.0
2,7,1053.0
2,8,1322.0
2,9,1286.0
2,10,1288.0
2,11,1288.0
2,12,972.0
2,13,49.0
2,14,1061.0
2,15,1377.0
2,16,1181.0
2,17,1289.0
2,18,40.0
2,19,1061.0
2,20,1145.0
2,21,149.0
2,22,1192.0
2,23,1266.0
2,24,1328.0
2,25,1339.0
2,26,1278.0
2,27,1245.0
2,28,1278.0
2,29,1428.0
2,30,1607.0
2,31,1430.0
2,32,1418.0
2,33,1396.0
2,34,1388.0
2,35,1245.0
2,36,1483.0
2,37,1541.0
2,38,1523.0
2,39,1187.0
2,40,1215.0
2,41,1238.0
2,42,1335.0
2,43,1254.0
2,44,1573.0
2,45,1428.0
2,46,1513.0
2,47,1491.0
2,48,1668.0
2,49,1670.0
2,50,1609.0
2,51,1616.0
2,52,1647.0
2,53,1706.0
2,54,1614.0
2,55,1698.0
2,56,1671.0
2,57,1643.0
2,58,1561.0
2,59,1556.0
2,60,1373.0
2,61,1450.0
2,62,1474.0
2,63,1603.0
2,64,1357.0
2,65,1474.0
2,66,1033.0
2,67,1188.0
2,68,1157.0
2,69,1270.0
2,70,1139.0
2,71,1104.0
2,72,1209.0
2,73,1282.0
2,74,1255.0
2,75,1273.0
2,76,1356.0
2,77,1376.0
2,78,1286.0
2,79,1212.0
2,80,1162.0
2,81,1131.0
2,82,1254.0
2,83,1163.0
2,84,1513.0
2,85,1222.0
2,86,1096.0
2,87,1216.0
3,4,1024.0
3,5,1236.0
3,6,1067.0
3,7,1238.0
3,8,1422.0
3,9,1427.0
3,10,1388.0
3,11,1388.0
3,12,43.0
3,13,979.0
3,14,1218.0
3,15,1523.0
3,16,1316.0
3,17,1389.0
3,18,875.0
3,19,1232.0
3,20,1291.0
3,21,1065.0
3,22,1292.0
3,23,1366.0
3,24,1428.0
3,25,1439.0
3,26,1378.0
3,27,1345.0
3,28,1378.0
3,29,1484.0
3,30,1792.0
3,31,1530.0
3,32,1518.0
3,33,1496.0
3,34,1488.0
3,35,1345.0
3,36,1583.0
3,37,1641.0
3,38,1623.0
3,39,1287.0
3,40,1315.0
3,41,1338.0
3,42,1435.0
3,43,1354.0
3,44,1758.0
3,45,1613.0
3,46,1698.0
3,47,1676.0
3,48,1853.0
3,49,1855.0
3,50,1794.0
3,51,1801.0
3,52,1832.0
3,53,1891.0
3,54,1780.0
3,55,1883.0
3,56,1904.0
3,57,1809.0
3,58,1727.0
3,59,1722.0
3,60,1558.0
3,61,1635.0
3,62,1659.0
3,63,1769.0
3,64,1523.0
3,65,1659.0
3,66,1199.0
3,67,1373.0
3,68,1342.0
3,69,1455.0
3,70,1324.0
3,71,1289.0
3,72,1394.0
3,73,1467.0
3,74,1440.0
3,75,1458.0
3,76,1541.0
3,77,1561.0
3,78,1452.0
3,79,1378.0
3,80,1328.0
3,81,1297.0
3,82,1420.0
3,83,1329.0
3,84,1679.0
3,85,1388.0
3,86,1262.0
3,87,1401.0
4,5,189.0
4,6,48.0
4,7,191.0
4,8,359.0
4,9,227.0
4,10,388.0
4,11,364.0
4,12,1073.0
4,13,45.0
4,14,171.0
4,15,317.0
4,16,116.0
4,17,364.0
4,18,135.0
4,19,185.0
4,20,244.0
4,21,54.0
4,22,554.0
4,23,628.0
4,24,697.0
4,25,681.0
4,26,640.0
4,27,607.0
4,28,640.0
4,29,566.0
4,30,745.0
4,31,790.0
4,32,778.0
4,33,780.0
4,34,651.0
4,35,607.0
4,36,939.0
4,37,901.0
4,38,841.0
4,39,466.0
4,40,468.0
4,41,414.0
4,42,521.0
4,43,630.0
4,44,711.0
4,45,566.0
4,46,651.0
4,47,629.0
4,48,806.0
4,49,808.0
4,50,747.0
4,51,754.0
4,52,785.0
4,53,844.0
4,54,1139.0
4,55,836.0
4,56,857.0
4,57,878.0
4,58,1005.0
4,59,1081.0
4,60,511.0
