first,second,distance
0,1,74.0
0,2,136.0
0,3,146.0
0,4,114.0
0,5,51.0
0,6,139.0
0,7,1092.0
0,8,1001.0
0,9,274.0
0,10,209.0
0,11,591.0
0,12,241.0
0,13,79.0
0,14,488.0
0,15,332.0
0,16,346.0
0,17,344.0
0,18,688.0
0,19,395.0
0,20,727.0
0,21,277.0
1,2,62.0
1,3,72.0
1,4,40.0
1,5,433.0
1,6,65.0
1,7,1018.0
1,8,927.0
1,9,200.0
1,10,135.0
1,11,517.0
1,12,167.0
1,13,5.0
1,14,414.0
1,15,258.0
1,16,272.0
1,17,270.0
1,18,614.0
1,19,321.0
1,20,653.0
1,21,203.0
2,3,9.0
2,4,1049.0
2,5,985.0
2,6,3.0
2,7,955.0
2,8,864.0
2,9,137.0
2,10,73.0
2,11,1069.0
2,12,105.0
2,13,1014.0
2,14,966.0
2,15,195.0
2,16,209.0
2,17,822.0
2,18,1166.0
2,19,873.0
2,20,1205.0
2,21,755.0
3,4,1040.0
3,5,976.0
3,6,694.0
3,7,946.0
3,8,855.0
3,9,128.0
3,10,64.0
3,11,1060.0
3,12,96.0
3,13,1005.0
3,14,957.0
3,15,186.0
3,16,200.0
3,17,813.0
3,18,1157.0
3,19,864.0
3,20,1196.0
3,21,746.0
4,5,393.0
4,6,25.0
4,7,978.0
4,8,887.0
4,9,160.0
4,10,95.0
4,11,477.0
4,12,127.0
4,13,422.0
4,14,374.0
4,15,218.0
4,16,232.0
4,17,230.0
4,18,574.0
4,19,281.0
4,20,613.0
4,21,163.0
5,6,88.0
5,7,1041.0
5,8,950.0
5,9,223.0
5,10,158.0
5,11,540.0
5,12,190.0
5,13,29.0
5,14,437.0
5,15,281.0
5,16,295.0
5,17,293.0
5,18,637.0
5,19,344.0
5,20,676.0
5,21,226.0
6,7,953.0
6,8,862.0
6,9,135.0
6,10,70.0
6,11,1067.0
6,12,103.0
6,13,1012.0
6,14,964.0
6,15,193.0
6,16,207.0
6,17,820.0
6,18,1164.0
6,19,871.0
6,20,1203.0
6,21,753.0
7,8,92.0
7,9,1491.0
7,10,1426.0
7,11,1650.0
7,12,1458.0
7,13,1297.0
7,14,1547.0
7,15,1549.0
7,16,1563.0
7,17,1216.0
7,18,1113.0
7,19,1267.0
7,20,1152.0
7,21,1336.0
8,9,1582.0
8,10,1517.0
8,11,1559.0
8,12,1549.0
8,13,1388.0
8,14,1456.0
8,15,1640.0
8,16,1654.0
8,17,1307.0
8,18,1204.0
8,19,1358.0
8,20,1243.0
8,21,1245.0
9,10,636.0
9,11,932.0
9,12,668.0
9,13,877.0
9,14,829.0
9,15,58.0
9,16,72.0
9,17,685.0
9,18,1029.0
9,19,736.0
9,20,1068.0
9,21,618.0
10,11,996.0
10,12,32.0
10,13,941.0
10,14,893.0
10,15,122.0
10,16,136.0
10,17,749.0
10,18,1093.0
10,19,800.0
10,20,1132.0
10,21,682.0
11,12,299.0
11,13,508.0
11,14,460.0
11,15,390.0
11,16,404.0
11,17,316.0
11,18,660.0
11,19,367.0
11,20,699.0
11,21,249.0
12,13,909.0
12,14,861.0
12,15,90.0
12,16,104.0
12,17,717.0
12,18,1061.0
12,19,768.0
12,20,1100.0
12,21,650.0
13,14,408.0
13,15,252.0
13,16,266.0
13,17,264.0
13,18,608.0
13,19,315.0
13,20,647.0
13,21,197.0
14,15,492.0
14,16,506.0
14,17,418.0
14,18,762.0
14,19,469.0
14,20,801.0
14,21,351.0
15,16,14.0
15,17,627.0
15,18,971.0
15,19,678.0
15,20,1010.0
15,21,560.0
16,17,613.0
16,18,957.0
16,19,664.0
16,20,996.0
16,21,546.0
17,18,345.0
17,19,51.0
17,20,384.0
17,21,726.0
18,19,154.0
18,20,39.0
18,21,381.0
19,20,333.0
19,21,675.0
20,21,342.0
